order	family	genus	species	binomial	bmass	blength	homerangekm2	homerangeindkm2	popdens.n-km2	gr_area-km2	gr_maxlat-dd
Artiodactyla	Bovidae	Kobus	kob	Kobus kob	80035.21	1700	99.57	-999	2.6	3179796.65	14.7
Carnivora	Mustelidae	Aonyx	capensis	Aonyx capensis	19322.22	815.2	99.74	119.27	0.35	14162350.57	17.04
Perissodactyla	Equidae	Equus	burchellii	Equus burchellii	279160.65	-999	127.99	120.07	7	4696974.13	6.91
Carnivora	Felidae	Puma	concolor	Puma concolor	53954.05	1396.33	129.89	138.87	0.02	22350859.07	59.66
Carnivora	Felidae	Lynx	lynx	Lynx lynx	19300	851.2	136.35	137.96	0.02	23827627.14	70.88
Perissodactyla	Equidae	Equus	asinus	Equus asinus	164998.49	-999	139.69	-999	3.06	-999	-999
Carnivora	Canidae	Canis	lupus	Canis lupus	31756.51	1055	159.86	43.13	0.01	50803439.7	83.27
Artiodactyla	Bovidae	Taurotragus	oryx	Taurotragus oryx	562592.69	2656.78	195.15	38.36	1.64	5405307.84	7.22
Artiodactyla	Camelidae	Camelus	dromedarius	Camelus dromedarius	492714.47	-999	196.32	-999	0.98	-999	-999
Carnivora	Felidae	Caracal	caracal	Caracal caracal	11964.38	739.28	293.94	275.76	-999	26609096.78	45.85
Carnivora	Ursidae	Ursus	arctos	Ursus arctos	196287.5	1484.07	310.81	333.82	0.02	23972321.42	72.38
Carnivora	Mustelidae	Gulo	gulo	Gulo gulo	12792.49	772.1	343.27	363.58	0.007916144	24495951.71	83.11
Carnivora	Canidae	Lycaon	pictus	Lycaon pictus	21999.99	923.86	395.88	816.68	0.01	10539675.81	21.76
Proboscidea	Elephantidae	Loxodonta	africana	Loxodonta africana	3824539.93	-999	587.53	1284.09	6.72	4233287.94	16.36
Artiodactyla	Bovidae	Tragelaphus	strepsiceros	Tragelaphus strepsiceros	206056.41	2199.99	835.1	783.47	1.06	6476879.55	20.14
Artiodactyla	Cervidae	Rangifer	tarandus	Rangifer tarandus	109088.5	2224.35	2771.22	2599.89	2.55	18376464.07	83.62
