id	idpaper	data	fam	sp	spcode	marker	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	diverhaplot	divernucleot	genetdiff	AllelesLocus	Porcpoliloci 	AllelicRichness	FIS 	phi_FT	seedwt
a63	62	duminil	Pinaceae	Picea abies	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0520	NA	NA	NA	NA	NA	7.443
a64	63	duminil	Pinaceae	Picea glauca	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0370	NA	NA	NA	NA	NA	3.645
a65	64	duminil	Pinaceae	Picea mariana	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0590	NA	NA	NA	NA	NA	1.300
a66	65	duminil	Pinaceae	Pinus albicaulis	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0610	NA	NA	NA	NA	NA	147.800
a67	66	duminil	Pinaceae	Pinus banksiana	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0180	NA	NA	NA	NA	NA	3.600
a68	67	duminil	Pinaceae	Pinus brutia	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1560	NA	NA	NA	NA	NA	47.360
a69	68	duminil	Pinaceae	Pinus canariensis	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0910	NA	NA	NA	NA	NA	170.940
a70	69	duminil	Pinaceae	Pinus chiapensis	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.2257	NA	NA	NA	NA	NA	42.800
a71	70	duminil	Pinaceae	Pinus contorta	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0930	NA	NA	NA	NA	NA	4.400
a72	71	duminil	Pinaceae	Pinus densata	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0860	NA	NA	NA	NA	NA	42.800
a73	72	duminil	Pinaceae	Pinus flexilis	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0940	NA	NA	NA	NA	NA	81.600
a74	73	duminil	Pinaceae	Pinus halepensis	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.3790	NA	NA	NA	NA	NA	23.700
a75	74	duminil	Pinaceae	Pinus leucodermis	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0540	NA	NA	NA	NA	NA	22.620
a76	75	duminil	Pinaceae	Pinus monticola	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1480	NA	NA	NA	NA	NA	19.300
a77	76	duminil	Pinaceae	Pinus mugo	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0134	NA	NA	NA	NA	NA	6.000
a78	77	duminil	Pinaceae	Pinus muricata	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.4500	NA	NA	NA	NA	NA	13.680
a79	78	duminil	Pinaceae	Pinus parviflora	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0440	NA	NA	NA	NA	NA	94.700
a80	79	duminil	Pinaceae	Pinus pinaster	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1670	NA	NA	NA	NA	NA	53.520
a81	80	duminil	Pinaceae	Pinus radiata	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1620	NA	NA	NA	NA	NA	31.900
a82	81	duminil	Pinaceae	Pinus resinosa	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0000	NA	NA	NA	NA	NA	8.400
a83	82	duminil	Pinaceae	Pinus sylvestris	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.0330	NA	NA	NA	NA	NA	6.000
a84	83	duminil	Potamogetonaceae	Potamogeton pectinatus	NA	NA	Herb	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.4960	NA	NA	NA	NA	NA	0.618
a85	84	duminil	Rosaceae	Prunus avium	NA	NA	Tree	mixed	mix	b	NA	NA	NA	NA	NA	NA	0.0520	NA	NA	NA	NA	NA	118.200
a86	85	duminil	Pinaceae	Pseudotsuga menziesii	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.2310	NA	NA	NA	NA	NA	11.000
a87	86	duminil	Fagaceae	Quercus alba complex	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0300	NA	NA	NA	NA	NA	3173.000
a88	87	duminil	Fagaceae	Quercus ilex	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.1020	NA	NA	NA	NA	NA	2311.000
a89	88	duminil	Fagaceae	Quercus petraea	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0320	NA	NA	NA	NA	NA	2577.200
a90	89	duminil	Fagaceae	Quercus pubescens	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0270	NA	NA	NA	NA	NA	2560.056
a91	90	duminil	Fagaceae	Quercus robur	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0240	NA	NA	NA	NA	NA	3817.000
a92	91	duminil	Fagaceae	Quercus rubra	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0920	NA	NA	NA	NA	NA	2981.000
a93	92	duminil	Fagaceae	Quercus suber	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.1100	NA	NA	NA	NA	NA	2609.000
a94	93	duminil	Fagaceae	Quercus glauca	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0560	NA	NA	NA	NA	NA	526.320
