id	idpaper	fam	sp	spcode	marker	nloci	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	npop	nind	meanIndiPop	diverhaplot	divernucleot	FST	AllelesLocus	Porcpoliloci 	AllelicRichness	Ho	He	FIS 	shannon_Hpop	Shanno_Hsp	mantel	coalesc_param	fp	fm	phi_FT	tm	ts	tm-ts	rp	rs	nb	Sp	Fij	distpollen	distgeneflow	Nep	Moranspatialfirstclass	bslope	rt
391	216	Fabaceae	Eperua grandiflora	EPGRAN	AFLP	3	Tree	mammals	ma	mi	large bees	lbe	wide	rainforest	1	52.0	52.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.0000	0.0190	0.0390	NA	166.0	NA	NA	NA	NA
166	134	Fabaceae	Gliricidia sepium	GLSEPI	RAPDmit	9	Tree	autochory	au	n	large bees	lbe	wide	sdtf	4	220.0	55.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2950	0.1950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	201	Fabaceae	Gliricidia sepium	GLSEPI	ssrnuc	1	Tree	autochory	au	n	large bees	lbe	wide	sdtf	1	138.0	138.0	NA	NA	NA	6.000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	319	Fabaceae	Guibourtia chodatiana	GUCHOD	isoz	7	Tree	mammals	ma	md	large bees	lbe	restric	sdtf	2	203.0	101.5	NA	NA	0.000	NA	NA	NA	NA	0.395	0.040	NA	NA	NA	NA	NA	NA	NA	0.9850	1.0000	-0.0200	NA	NA	NA	NA	NA	76.0	NA	11.2500	NA	NA	NA
43	113	Fabaceae	Hymenaea courbaril	HYCOUR	chlorop	1	Tree	mammals	ma	md	bat	bat	wide	sdtf	15	149.0	9.9	0.80000	0.00300	0.600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
396	20	Fabaceae	Hymenaea courbaril 	HYCOUR	ssrnuc	9	Tree	mammals	ma	md	bat	bat	wide	sdtf	1	263.0	NA	NA	NA	NA	20.110	NA	3.510	0.592	0.715	0.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	113	Fabaceae	Hymenaea stigonocarpa	HYSTIG	chlorop	1	Tree	mammals	ma	md	bat	bat	wide	savanna	17	175.0	10.3	0.80400	0.00300	0.690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	32	Fabaceae	Hymenaea stigonocarpa	HYSTIG	chlorop	1	Tree	mammals	ma	md	bat	bat	wide	savanna	17	175.0	10.3	0.80400	0.00300	0.690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	87	Fabaceae	Hymenaea stigonocarpa	HYSTIG	ssrnuc	6	Tree	mammals	ma	md	bat	bat	wide	savanna	1	171.0	171.0	NA	NA	NA	10.300	NA	NA	0.530	0.666	0.023	NA	NA	NA	NA	0.1890	-0.0370	NA	NA	NA	NA	0.2890	NA	NA	NA	NA	719.0	NA	4.0700	NA	NA	NA
170	90	Fabaceae	Inga thibaudiana	INTHIB	RAPD	13	Tree	mammals	ma	n	birds	bi	restric	rainforest	3	28.0	9.3	NA	NA	0.010	NA	NA	NA	NA	NA	NA	NA	NA	-0.0600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
